iter	RMSE
126	5.073373198
127	5.069676206
128	5.065429006
129	5.055194594
130	5.049742483
131	5.042803188
132	5.039590724
133	5.037277001
134	5.032811008
135	5.027935777
136	5.026563817
137	5.021818038
138	5.015724121
139	5.010087264
140	5.006524476
141	5.003209626
142	4.999106747
143	4.992943624
144	4.988142497
145	4.983308937
146	4.981453568
147	4.978253148
148	4.975433493
149	4.97043038
150	4.964980364
151	4.964010924
152	4.961978748
153	4.960668431
154	4.955158935
155	4.950928454
156	4.944365149
157	4.941791389
158	4.936461869
159	4.930886505
160	4.927119741
161	4.922803209
162	4.918049657
163	4.914625137
164	4.910011716
165	4.907828653
166	4.905426577
167	4.900327999
168	4.8981478
169	4.895727205
170	4.892655693
171	4.884679208
172	4.881702719
173	4.877251927
174	4.876392553
175	4.871900188
176	4.871451937
177	4.867381317
178	4.867100372
179	4.8643623
180	4.860590083
181	4.857301254
182	4.854760799
183	4.849507987
184	4.846051919
185	4.84207589
186	4.838282062
187	4.833082686
188	4.82918721
189	4.826553558
190	4.820289389
191	4.818357107
192	4.815957758
193	4.810914066
194	4.808933005
195	4.805670806
196	4.804827147
197	4.802889726
198	4.800569732
199	4.797046863
200	4.791806095
201	4.787629682
202	4.783837559
203	4.781458079
204	4.779492608
205	4.777002986
206	4.775280146
207	4.773955761
208	4.771000843
209	4.768351967
210	4.767611648
211	4.759749807
212	4.756580668
213	4.752449398
214	4.750247173
215	4.745758068
216	4.7415391
217	4.737181158
218	4.736465933
219	4.734990469
220	4.729401375
221	4.723764449
222	4.720811916
223	4.717929535
224	4.712609611
225	4.711195166
226	4.708927757
227	4.704470586
228	4.69944262
229	4.698524311
230	4.696397506
231	4.694422116
232	4.691302104
233	4.687689064
234	4.682941533
235	4.682267394
236	4.677288321
237	4.676530185
238	4.67446815
239	4.669859796
240	4.666030071
241	4.662261562
242	4.659317306
243	4.658564229
244	4.656868558
245	4.65527678
246	4.653016534
247	4.6526143
248	4.651244395
249	4.647886111
250	4.64706511
251	4.644148856
252	4.640640215
253	4.636036041
254	4.631631602
255	4.631215851
256	4.628954488
257	4.62596124
258	4.62320119
259	4.617886104
260	4.61754403
261	4.613888567
262	4.613581696
263	4.610573238
264	4.607385593
265	4.604770672
266	4.601791892
267	4.598526886
268	4.597074734
269	4.594966276
270	4.591564235
271	4.587974504
272	4.5876322
273	4.585536809
274	4.582055854
275	4.575485249
276	4.574895626
277	4.571471739
278	4.568458949
279	4.565745876
280	4.564081101
281	4.559865108
282	4.557362391
283	4.552637516
284	4.552339775
285	4.547181137
286	4.54178772
287	4.539667053
288	4.539361944
289	4.534579865
290	4.530890944
291	4.528951153
292	4.528685382
293	4.525572004
294	4.52355213
295	4.518557617
296	4.514312878
297	4.511346128
298	4.508926364
299	4.503537604
300	4.500443546
301	4.500177066
302	4.499520848
303	4.498880776
304	4.497066644
305	4.491585461
306	4.491286386
307	4.49101599
308	4.484754534
309	4.482867464
310	4.481384099
311	4.477603121
312	4.47340814
313	4.468255651
314	4.466410198
315	4.461562661
316	4.456216312
317	4.453388904
318	4.449924159
319	4.448279166
320	4.4462353
321	4.441614764
322	4.435853225
323	4.43074507
324	4.426917987
325	4.422800658
326	4.422422246
327	4.420004381
328	4.419044942
329	4.415793787
330	4.413877329
331	4.413658918
332	4.410503679
333	4.406680259
334	4.403456149
335	4.398711057
336	4.395404957
337	4.392579032
338	4.389407084
339	4.387161403
340	4.386366847
341	4.381377205
342	4.378706774
343	4.376146819
344	4.371276831
345	4.371088709
346	4.366880828
347	4.362974692
348	4.360475277
349	4.360178698
350	4.356855056
351	4.352831599
352	4.352250958
353	4.348572945
354	4.345778175
355	4.343301773
356	4.338435331
357	4.337208771
358	4.336252252
359	4.333458966
360	4.327955758
361	4.324824527
362	4.321408497
363	4.320882996
364	4.316910267
365	4.316521574
366	4.314564738
367	4.309076614
368	4.308690609
369	4.308360883
370	4.304223011
371	4.302424246
372	4.30109759
373	4.298442019
374	4.296120812
375	4.293311318
376	4.289759351
377	4.28909692
378	4.284865275
379	4.281113745
380	4.279624291
381	4.279122444
382	4.271680912
383	4.267064989
384	4.266670461
385	4.265918635
386	4.262715829
387	4.257220276
388	4.254582317
389	4.25122941
390	4.249680803
391	4.248813109
392	4.247329919
393	4.243996275
394	4.241435335
395	4.238709887
396	4.237154819
397	4.231274803
398	4.229765433
399	4.229650932
400	4.225708822
401	4.220774205
402	4.21793971
403	4.21406822
404	4.211338781
405	4.209913273
406	4.206277914
407	4.202644488
408	4.200955043
409	4.199467971
410	4.1955806
411	4.194495511
412	4.192751101
413	4.188761813
414	4.186135901
415	4.181848257
416	4.178532675
417	4.174295653
418	4.173456196
419	4.169376233
420	4.164261785
421	4.161237385
422	4.161008584
423	4.160685909
424	4.159351235
425	4.158024182
426	4.154427435
427	4.149672412
428	4.14706106
429	4.145248626
430	4.141488066
431	4.140078229
432	4.137965777
433	4.135681351
434	4.134542303
435	4.131037926
436	4.128044539
437	4.124186601
438	4.122850179
439	4.121827255
440	4.12152645
441	4.117645249
442	4.116439803
443	4.112720234
444	4.10928277
445	4.106517751
446	4.10407834
447	4.102439597
448	4.101971866
449	4.100474491
450	4.099521498
451	4.09785235
452	4.096782245
453	4.09663884
454	4.095455443
455	4.091920883
456	4.088010801
457	4.087789939
458	4.086548272
459	4.084525198
460	4.083810918
461	4.08020913
462	4.076723008
463	4.07356519
464	4.073225727
465	4.0731118
466	4.071923598
467	4.068584969
468	4.065631803
469	4.062587456
470	4.062257064
471	4.060206951
472	4.057007449
473	4.056030606
474	4.052413973
475	4.049231018
476	4.046550188
477	4.04386668
478	4.041710586
479	4.038720679
480	4.036272612
481	4.036143293
482	4.035681487
483	4.03229678
484	4.029934464
485	4.028627
486	4.028483337
487	4.024735735
488	4.021555797
489	4.019840787
490	4.016687389
491	4.013259322
492	4.011533626
493	4.010466352
494	4.008303214
495	4.007978548
496	4.005067974
497	4.004538593
498	4.002964742
499	4.001248073
500	3.998125431
501	3.991952204
502	3.991224819
503	3.988984688
504	3.987504631
505	3.986294107
506	3.983273864
507	3.97845694
508	3.973550922
509	3.970167995
510	3.970017913
511	3.968066336
512	3.967798279
513	3.965554532
514	3.963956401
515	3.961379592
516	3.955156014
517	3.952234988
518	3.948575543
519	3.946396467
520	3.944756028
521	3.940750972
522	3.938618989
523	3.935943551
524	3.933427512
525	3.927818836
526	3.925366617
527	3.924757853
528	3.9227695
529	3.920483394
530	3.917776171
531	3.916693212
532	3.914752208
533	3.910727003
534	3.910465961
535	3.903374664
536	3.900869971
537	3.900174046
538	3.898291461
539	3.897628907
540	3.894600201
541	3.891791532
542	3.890302603
543	3.887294189
544	3.885049587
545	3.880085408
546	3.879327216
547	3.8756896
548	3.872064622
549	3.866816027
550	3.863372612
551	3.862660797
552	3.862288088
553	3.861550909
554	3.857624304
555	3.855331976
556	3.853396457
557	3.851923012
558	3.849156801
559	3.845598401
560	3.842622117
561	3.841418504
562	3.839869597
563	3.834818481
564	3.833669427
565	3.833452045
566	3.831745221
567	3.829996475
568	3.826523304
569	3.824268556
570	3.821493211
571	3.819259534
572	3.817078243
573	3.813288872
574	3.813166089
575	3.811684383
576	3.810649722
577	3.809677236
578	3.807573881
579	3.803795586
580	3.802899379
581	3.800837388
582	3.800077256
583	3.799986854
584	3.798760201
585	3.798112056
586	3.796079691
587	3.795902144
588	3.79458729
589	3.793408681
590	3.792430046
591	3.789859439
592	3.787957315
593	3.784320602
594	3.783409656
595	3.782390042
596	3.7799361
597	3.77810559
598	3.77674632
599	3.776228367
600	3.775672175
601	3.774350534
602	3.772491192
603	3.770356077
604	3.768662205
605	3.766786982
606	3.766115303
607	3.763320285
608	3.761966976
609	3.760167184
610	3.757972598
611	3.756220655
612	3.753304182
613	3.751887653
614	3.749588897
615	3.747896903
616	3.742148615
617	3.737805199
618	3.737276252
619	3.736028698
620	3.734868152
621	3.731667544
622	3.730822935
623	3.729651512
624	3.727681379
625	3.726490817
626	3.724514925
627	3.724312376
628	3.719792802
629	3.718386106
630	3.717223671
631	3.716968665
632	3.714619765
633	3.71124484
634	3.710701827
635	3.709018782
636	3.708512201
637	3.706809118
638	3.70569327
639	3.704329505
640	3.703441245
641	3.703375849
642	3.698696096
643	3.696593155
644	3.693321581
645	3.688747121
646	3.686506705
647	3.685308453
648	3.684525661
649	3.684291599
650	3.682290941
651	3.678614391
652	3.67714926
653	3.673344576
654	3.671902584
655	3.669362525
656	3.667521564
657	3.666740044
658	3.665596272
659	3.665108003
660	3.661398688
661	3.660732691
662	3.658838889
663	3.658768796
664	3.657196965
665	3.656141607
666	3.655134917
667	3.651263565
668	3.65054944
669	3.649386049
670	3.647721371
671	3.642491259
672	3.640040372
673	3.638370849
674	3.636952792
675	3.635382541
676	3.632466148
677	3.632020238
678	3.63087677
679	3.62790625
680	3.62566358
681	3.623786089
682	3.621032144
683	3.617521377
684	3.61447626
685	3.611693713
686	3.610501408
687	3.607267579
688	3.604757492
689	3.604029668
690	3.602876293
691	3.601808276
692	3.59744327
693	3.596320186
694	3.595293497
695	3.594339994
696	3.593389513
697	3.592680886
698	3.588396406
699	3.588270149
700	3.585658853
701	3.583450383
702	3.581658747
703	3.579812101
704	3.577280131
705	3.576920297
706	3.572666415
707	3.572234076
708	3.572144663
709	3.571068011
710	3.570354249
711	3.568578809
712	3.565005867
713	3.563713396
714	3.563226241
715	3.558053509
716	3.556230374
717	3.555749759
718	3.551969027
719	3.546868731
720	3.545618132
721	3.544888216
722	3.544665648
723	3.543888728
724	3.543415127
725	3.541563708
726	3.540859312
727	3.53801026
728	3.53648201
729	3.532447271
730	3.530526843
731	3.529848593
732	3.527789242
733	3.526737374
734	3.525205783
735	3.523984495
736	3.522615115
737	3.51954966
738	3.515528653
739	3.514780131
740	3.511481313
741	3.509464235
742	3.508487331
743	3.508169389
744	3.507175007
745	3.502644704
746	3.501094338
747	3.500400178
748	3.498579161
749	3.498173217
750	3.496014737
751	3.495855723
752	3.494645392
753	3.49447713
754	3.493341234
755	3.493273895
756	3.4912547
757	3.490441128
758	3.489038491
759	3.487393123
760	3.48544311
761	3.484047214
762	3.478088003
763	3.476688471
764	3.476575965
765	3.476116515
766	3.475639322
767	3.475512605
768	3.474914112
769	3.474064151
770	3.473980111
771	3.472552645
772	3.470682805
773	3.470589075
774	3.468653241
775	3.466729998
776	3.46625359
777	3.465546451
778	3.464289399
779	3.46330075
780	3.461548589
781	3.460559775
782	3.459155976
783	3.458094423
784	3.456548405
785	3.452517525
786	3.448664347
787	3.446928033
788	3.445214107
789	3.444137633
790	3.443133696
791	3.442524609
792	3.442362156
793	3.4403801
794	3.438901262
795	3.436539429
796	3.436394454
797	3.435397335
798	3.434434669
799	3.431705692
800	3.430271143
801	3.428820059
802	3.428731636
803	3.428063645
804	3.426207395
805	3.425394199
806	3.423707455
807	3.422253552
808	3.420466885
809	3.42016734
810	3.418611659
811	3.417978025
812	3.416448574
813	3.416238101
814	3.414903616
815	3.413970798
816	3.409446124
817	3.407376339
818	3.407182303
819	3.406816318
820	3.406607889
821	3.405486218
822	3.402172196
823	3.397702395
824	3.396021681
825	3.393211293
826	3.392013975
827	3.391600371
828	3.391472738
829	3.389744564
830	3.388437158
831	3.387858477
832	3.386480531
833	3.38551866
834	3.384747861
835	3.381397144
836	3.380390188
837	3.378826589
838	3.377445336
839	3.377123039
840	3.376215457
841	3.375895455
842	3.373336812
843	3.372868061
844	3.372391609
845	3.370267224
846	3.369190251
847	3.368562209
848	3.367575069
849	3.366458864
850	3.366144049
851	3.365649449
852	3.364775758
853	3.363805459
854	3.363478407
855	3.362135412
856	3.360976265
857	3.358974726
858	3.357760761
859	3.35386298
860	3.352906663
861	3.352846891
862	3.352715729
863	3.351386013
864	3.349981321
865	3.347944187
866	3.347461361
867	3.347083686
868	3.345146899
869	3.344487432
870	3.343930976
871	3.343872571
872	3.342062216
873	3.34128034
874	3.340581857
875	3.337949073
876	3.336149377
877	3.335311882
878	3.333236642
879	3.331520892
880	3.33129385
881	3.330545928
882	3.330371702
883	3.328179781
884	3.324347342
885	3.32388119
886	3.322573937
887	3.322230187
888	3.320181556
889	3.319836797
890	3.316273658
891	3.312527831
892	3.311122712
893	3.309585375
894	3.307779375
895	3.306725243
896	3.305171064
897	3.303863457
898	3.302429192
899	3.301693654
900	3.301357391
901	3.301272916
902	3.297091616
903	3.296385424
904	3.293659819
905	3.293312574
906	3.293268703
907	3.291912157
908	3.291241062
909	3.290056015
910	3.288880634
911	3.287420826
912	3.286541998
913	3.284854264
914	3.284067285
915	3.281913475
916	3.278363539
917	3.277673557
918	3.275646106
919	3.273950546
920	3.272069517
921	3.268358464
922	3.267067822
923	3.26682447
924	3.266440063
925	3.266040328
926	3.262153011
927	3.261131281
928	3.260710219
929	3.260572136
930	3.259267957
931	3.258317095
932	3.255507608
933	3.255174909
934	3.252315602
935	3.251875427
936	3.249484022
937	3.248684647
938	3.247792121
939	3.247036834
940	3.242467114
941	3.238929004
942	3.23748615
943	3.236808143
944	3.235000542
945	3.23164401
946	3.230912632
947	3.230108188
948	3.227641694
949	3.226286593
950	3.225246415
951	3.222499306
952	3.221037869
953	3.219278504
954	3.217921106
955	3.216247206
956	3.213392748
957	3.211630229
958	3.211089111
959	3.210531375
960	3.208238687
961	3.207291809
962	3.205781917
963	3.205235451
964	3.202681137
965	3.201863473
966	3.200868781
967	3.199067542
968	3.198344437
969	3.197412093
970	3.195428745
971	3.194884061
972	3.193806001
973	3.193332686
974	3.192030631
975	3.191141218
976	3.18997416
977	3.186989788
978	3.185953813
979	3.183109238
980	3.183065442
981	3.18053561
982	3.178770111
983	3.17784625
984	3.176718188
985	3.175727249
986	3.175445151
987	3.174659714
988	3.174119486
989	3.172371171
990	3.17208226
991	3.170038036
992	3.168811594
993	3.16747139
994	3.164554883
995	3.163209844
996	3.16273844
997	3.161487105
998	3.159744649
999	3.159626273
